"1 ""TRAINING SET INDEX"	SMILES	NAME	MW	LogS(mols/L)	REFERENCE	GROUP						
"590 ""590"	O=[N]([O-])c1ccccc1O	2-nitrophenol	139.12	-1.74	25	TRAIN						
"591 ""591"	Oc1ccccc1c1ccccc1	2-phenylphenol	170.22	-2.39	25	TRAIN						
"592 ""592"	O=C(N)c1[nH0]cc[nH0]c1	2-pyrazinecarboxamide	123.13	-0.91	25	TRAIN						
"593 ""593"	[S]([O-])([O-])(N)c1ccccc1C	2-toluenesulfonamide	171.24	-2.02	25	TRAIN						
"594 ""594"	Clc1cc(ccc1N)c1ccc(N)c(Cl)c1	3,3?-dichlorobenzidine	253.14	-4.92	25	TRAIN						
"595 ""595"	Clc1ccc(cc1Cl)c1ccccc1	3,4-PCB	223.1	-6.39	25	TRAIN						
"596 ""596"	Oc1ccc(C)c(C)c1	3,4-Xylenol	122.18	-1.41	25	TRAIN						
"597 ""597"	O=C(O)c1c[nH0]ccc1C(=O)O	3,4-pyridinedicarboxylic acid	167.12	-1.857	24	TRAIN						
"598 ""598"	Ic1cc(I)c(O)c(c1)C(=O)O	3,5-Diiodosalicylic acid	389.91	-3.31	25	TRAIN						
"599 ""599"	Oc1cc(C)cc(C)c1	3,5-dimethylphenol	122.18	-1.4	25	TRAIN						
"600 ""600"	O=[N]([O-])c1cc([N](=O)[O-])cc(c1)C(=O)O	3,5-dinitrobenzoicacid	212.12	-2.334	24	TRAIN						
"601 ""601"	O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COC(=O)CCC	3-Butanoyloxymethylphenytoin	352.42	-5.071	26	TRAIN						
"602 ""602"	O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COC(=O)C	3-Ethanoyloxymethylphenytoin	324.36	-4.47	26	TRAIN						
"603 ""603"	O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COC(=O)CCCCCC	3-Heptanoyloxymethylphenytoin	394.51	-6.301	26	TRAIN						
"604 ""604"	O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COC(=O)CCCCC	3-Hexanoyloxymethylphenyltoin	380.48	-5.886	26	TRAIN						
"605 ""605"	O=C1CCC[C@H](C)C1	3-Methylcyclohexanone	112.19	-1.87	25	TRAIN						
"606 ""606"	Clc1cccc(O)c1	3-chlorophenol	128.56	-0.7	25	TRAIN						
"607 ""607"	ClCC#CCOC(=O)Nc1cccc(Cl)c1	3-chlorophenylcarbamic acid chloro-2-butynylester	258.11	-4.371	24	TRAIN						
"608 ""608"	Oc1[nH0]oc(C)c1	3-hydroxy-5-methylisoxazole	99.1	-0.07	25	TRAIN						
"609 ""609"	Clc1ccc(O)cc1C	3-methyl-4-chlorophenol	142.59	-1.57	25	TRAIN						
"610 ""610"	O=C(Nc1cccc(C)c1)C	3-methylacetanilide	149.21	-2.09	25	TRAIN						
"611 ""611"	Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32	3-methylcholanthrene	268.37	-7.92	25	TRAIN						
"612 ""612"	O=[N]([O-])c1cccc(N)c1	3-nitroaniline	138.14	-2.19	25	TRAIN						
"613 ""613"	O=[N]([O-])c1cccc(O)c1	3-nitrophenol	139.12	-1.01	25	TRAIN						
"614 ""614"	Clc1ccc(cc1)c1ccc(Cl)cc1	4,4?-PCB	223.1	-6.56	25	TRAIN						
"615 ""615"	Clc1cc(Cl)c(Cl)c2[nH0]s[nH0]c21	4,5,7-Trichloro-2,1,3-benzothiadiazole	239.51	-4.98	25	TRAIN						
"616 ""616"	Clc1ccc(OC)cc1	4-Chloroanisole	142.59	-2.78	26	TRAIN						
"617 ""617"	Oc1ccc(CCCCCC)c(O)c1	4-Hexylresorcinol	194.3	-2.59	25	TRAIN						
"618 ""618"	O=C(Nc1ccc(N)cc1)C	4-aminoacetanilide	150.2	-0.98	25	TRAIN						
"619 ""619"	Oc1ccc(N)cc1	4-aminophenol	109.14	-0.8	25	TRAIN						
"620 ""620"	Brc1ccc(NC(=O)C)cc1	4-bromoacetanilide	214.07	-3.08	25	TRAIN						
"621 ""621"	Brc1ccc(O)cc1	4-bromophenol	173.01	-1.09	25	TRAIN						
"622 ""622"	Clc1ccc(O)c(C)c1	4-chloro-2-methyl-phenol	142.59	-1.319	24	TRAIN						
"623 ""623"	Clc1ccc(OCC(=O)O)c(C)c1	4-chloro-2-methylphenoxyacetic acid	200.62	-2.183	24	TRAIN						
"624 ""624"	Clc1c(C)cc(O)cc1C	4-chloro-3,5-dimethyl-phenol	156.62	-2.8	25	TRAIN						
"625 ""625"	Clc1ccc(N)cc1	4-chloroaniline	127.58	-1.66	25	TRAIN						
"626 ""626"	Clc1ccc(OCC(=O)O)cc1	4-chlorophenoxyacetic acid	186.6	-2.408	24	TRAIN						
"627 ""627"	O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1	4-dimethylaminoantipyrine	231.3	-0.662	24	TRAIN						
"628 ""628"	O=Cc1ccc(NC(=O)C)cc1	4-formylacetanilide	163.19	-1.58	25	TRAIN						
"629 ""629"	O=C(Nc1ccc(O)cc1)C	4-hydroxyacetanilide	151.18	-1.03	25	TRAIN						
"630 ""630"	Ic1ccc(NC(=O)C)cc1	4-iodoacetanilide	261.07	-3.25	25	TRAIN						
"631 ""631"	Nc1ccc(C)cc1	4-methylaniline	107.17	-1.21	25	TRAIN						
"632 ""632"	O=C(O)c1ccc(C)cc1	4-methylbenzoic acid	136.15	-2.565	24	TRAIN						
"633 ""633"	O=[N]([O-])c1ccc(NC(=O)C)cc1	4-nitroacetanilide	180.18	-2.69	25	TRAIN						
"634 ""634"	O=[N]([O-])c1ccc(cc1)C(=O)O	4-nitrobenzoic acid	167.13	-2.8	25	TRAIN						
"635 ""635"	O=[N]([O-])c1ccc(O)cc1	4-nitrophenol	139.12	-0.74	25	TRAIN						
"636 ""636"	O=[N]([O-])c1ccc(C)cc1	4-nitrotoluene	137.15	-2.49	25	TRAIN						
"637 ""637"	[S]([O-])([O-])(N)c1ccc(C)cc1	4-toluenesulfonamide	171.24	-1.74	25	TRAIN						
"638 ""638"	O=C1NC(=O)C(C(=O)N1)(C(C)C)C(C)C	5,5-Diisopropylbarbital	212.28	-2.766	26	TRAIN						
"639 ""639"	O=C1NC(=O)C(C)(C)C(=O)N1	5,5-Dimethylbarbituric acid	156.16	-1.742	26	TRAIN						
"640 ""640"	O=C1NC(=O)C(CC)(CC)C(=O)N1	5,5-diethylbarbituric acid	184.2	-1.411	24	TRAIN						
"641 ""641"	Cc1c(C)c2c3ccccc3ccc2c2ccccc12	5,6-Dimethylchrysene	256.36	-7.01	26	TRAIN						
"642 ""642"	O=C1NC(=O)C(CC=C(C)C)(C(=O)N1)C(C)C	5-(3-Methyl-2-butenyl)-5-isoPrbarbital	238.32	-2.593	26	TRAIN						
"643 ""643"	O=C1NC(=O)C(CC)(CC=C)C(=O)N1	5-Allyl-5-ethylbarbital	196.23	-1.614	26	TRAIN						
"644 ""644"	O=C1NC(=O)C(C)(CC=C)C(=O)N1	5-Allyl-5-methylbarbital	182.2	-1.16	26	TRAIN						
"645 ""645"	O=C1NC(=O)C(CC)(C(=O)N1)c1ccccc1	5-Ethyl-5-phenylbarbital	232.26	-2.322	26	TRAIN						
"646 ""646"	O=C1NC(=O)[C@H](N1)CC	5-Ethylhydantoin	128.15	-0.06	25	TRAIN						
"647 ""647"	O=C1NC(=O)C(C)(CC)C(=O)N1	5-Methyl-5-ethylbarbituric acid	170.19	-1.228	26	TRAIN						
"648 ""648"	O=[N]([O-])C1C(=O)NC(=O)NC1=O	5-Nitrobarbituric acid	173.1	-2.28	25	TRAIN						
"649 ""649"	O=C1NC(=O)C(CC)(CCCC)C(=O)N1	5-butyl-5-ethylbarbituric acid	212.28	-1.64	25	TRAIN						
"650 ""650"	FC1=CNC(=O)NC1=O	5-fluorouracil	130.09	-1.07	25	TRAIN						
"651 ""651"	Oc1cccc2[nH0]cccc12	5-hydroxyquinoline	145.17	-2.54	25	TRAIN						
"652 ""652"	Cc1cc2c3ccccc3ccc2c2ccccc12	6-Methylchrysene	242.33	-6.57	26	TRAIN						
"653 ""653"	Nc1cc2c3ccccc3ccc2c2ccccc12	6-aminochrysene	243.32	-6.2	25	TRAIN						
"654 ""654"	Oc1ccc2[nH0]cccc2c1	6-hydroxyquinoline	145.17	-2.16	25	TRAIN						
"655 ""655"	Cc1c2ccccc2c(C)c2c3ccccc3ccc12	7,12-dimethylbenz(a)anthracene	256.36	-7.02	25	TRAIN						
"656 ""656"	Oc1cccc2ccc[nH0]c12	8-quinolinol	145.17	-2.42	25	TRAIN						
"657 ""657"	Cc1c2ccccc2c(C)c2ccccc12	9,10-dimethylanthracene	206.3	-6.57	25	TRAIN						
"658 ""658"	Cc1c2ccccc2cc2ccccc21	9-methylanthracene	192.27	-5.89	25	TRAIN						
